results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
50,85,4.41,"Newton County, IN",18111,8.30245,932,112.256020813133,8.1
50,189,4.44,"Nelson County, KY",21179,8.4058,1005,119.560303599895,8.1
50,197,4.45,"Atascosa County, TX",48013,8.44025,1119,132.579011285211,8.1
50,286,4.49,"Ross County, OH",39141,8.57805,1219,142.106889094841,8.1
50,173,4.5,"Philadelphia County, PA",42101,8.6125,1257,145.950653120464,8.1
9,38,4.5,"Union County, OR",41061,8.6125,1346,156.284470246734,8.1
50,204,4.54,"King William County, VA",51101,8.7503,1427,163.080122967213,8.1
7,22,4.57,"Hemphill County, TX",48211,8.85365,1496,168.969859888295,8.1
50,170,4.34,"Chilton County, AL",1021,8.0613,384,47.6349968367385,8
50,154,4.34,"Chattooga County, GA",13055,8.0613,534,66.2424174760895,8
15,148,4.33,"Rio Arriba County, NM",35039,8.02685,554,69.0183571388527,8
50,137,4.34,"Switzerland County, IN",18155,8.0613,583,72.3208415516108,8
21,24,4.36,"Leflore County, MS",28083,8.1302,584,71.8309512681115,8
50,137,4.36,"Harrison County, KY",21097,8.1302,792,97.4145777471649,8
8,12,4.38,"Bracken County, KY",21023,8.1991,797,97.2057908794868,8
50,93,4.36,"Robertson County, TX",48395,8.1302,798,98.1525669725222,8
50,79,4.38,"Jasper County, IN",18073,8.1991,808,98.5474015440719,8
50,91,4.37,"Jefferson County, OH",39081,8.16465,875,107.169321403857,8
50,173,4.4,"Grant County, KY",21081,8.268,907,109.700048379294,8
50,110,4.4,"Bartow County, GA",13015,8.268,964,116.594097726173,8
18,42,4.39,"Pike County, OH",39131,8.23355,969,117.689210607818,8
50,237,4.4,"Cheatham County, TN",47021,8.268,1033,124.939525882922,8
6,28,4.42,"Pershing County, NV",32027,8.3369,1044,125.226403099473,8
50,110,4.42,"Greene County, IL",17061,8.3369,1118,134.102604085451,8
50,94,4.48,"Shelby County, OH",39149,8.5436,1431,167.493796526055,8
50,200,4.53,"Honolulu County, HI",15003,8.71585,1587,182.082068874522,8
50,178,4.57,"Salt Lake County, UT",49035,8.85365,1640,185.234338380216,8
7,11,4.29,"Shannon County, MO",29203,7.88905,382,48.4215463205329,7.9
50,145,4.31,"George County, MS",28039,7.95795,619,77.783851368757,7.9
50,147,4.32,"Fannin County, GA",13111,7.9924,649,81.2021420349332,7.9
50,191,4.33,"Yancey County, NC",37199,8.02685,684,85.2140005107857,7.9
50,198,4.32,"Larue County, KY",21123,7.9924,711,88.9595115359592,7.9
50,126,4.33,"Benewah County, ID",16009,8.02685,756,94.1838953013947,7.9
50,153,4.33,"Berkeley County, SC",45015,8.02685,759,94.5576409176701,7.9
